event_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,anchor_time_rel_s,anchor_time_abs_storage_s,event_start_rel_s,event_end_rel_s,event_start_abs_storage_s,event_end_abs_storage_s,event_duration_s,instability_anchor_source,instability_role,ay_seed_count,roll_rate_seed_count,merged_seed_count,source_event_uids,source_event_types,source_event_levels,vehicle_read_status,vehicle_read_error,peak_abs_ay_window,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,lateral_distance_range_window,median_speed_kmh_window,steering_delta_peak_post3s,instability_review_score,codex_recommended_decision,road_guided_instability_score,road_guided_recommended_decision,old_v400_near_count,old_v400_overlap_count,old_v400_max_level,old_v400_road_type_mode,old_v400_phase_mode,old_v400_min_abs_anchor_gap_s,road_design_map_status,road_design_module_name,road_design_instance_name,road_design_mapping_reliability,road_design_risk_class,manual_label_count,manual_label_decision_mode,oldcode_usable,oldcode_drop_reason,history_full_3s_oldcode,future_full_2s_oldcode,future_rows_available_oldcode,random_event_split,session_level_split,subject_level_split,vehicle_file_count,physio_file_count,eeg_file_count,vehicle_paths,physio_paths,eeg_paths,vehicle_time_min,vehicle_time_max,physio_time_min,physio_time_max,eeg_time_min,eeg_time_max,vehicle_available,physio_available,eeg_available,all_three_modalities_available,anchor_uses_steering,anchor_source_nonsteering_vehicle_dynamics,steering_used_only_as_response_evidence,raw_vehicle_file_modified
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,60.84,1759079212.73,60.84,67.06,1759079212.73,1759079218.95,6.22,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,1,2,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00003;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00004,roll_rate;ay,extreme;weak,ok,,5.20337,0.372476,0.29898,2.77016,109.498002,1.561721,76.37,auto_accept_instability_high,100.0,hybrid_accept_high,1,1,extreme_active,straight,primary,0.115,ok,middle_section,section2,high,design_regular_road,0,none,True,,True,True,100919.0,train,train,test,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,1759079151.89,1759079717.325,1759079151.888,1759079717.328,1759079151.9020002,1759079717.328,True,True,True,True,False,True,True,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,87.745,1759079239.635,87.745,94.47,1759079239.635,1759079246.3600001,6.725,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00005,roll_rate,extreme,ok,,9.897419,0.77988,1.81476,22.07512,113.255001,1.948833,94.15,auto_accept_instability_high,100.0,hybrid_accept_high,2,2,extreme_active,straight,secondary,0.08,ok,middle_section,section2,high,design_regular_road,0,none,True,,True,True,95538.0,test,train,test,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,1759079151.89,1759079717.325,1759079151.888,1759079717.328,1759079151.9020002,1759079717.328,True,True,True,True,False,True,True,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,99.815,1759079251.7050002,99.815,115.085,1759079251.7050002,1759079266.9750001,15.27,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,3,4,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00006;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00007;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00008;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00009,ay;roll_rate;roll_rate;roll_rate,weak;extreme;strong;extreme,ok,,12.1978,0.842305,1.23614,21.938079,14.473899,0.07139,93.06,auto_accept_instability_high,100.0,hybrid_accept_high,0,0,none,none,none,,ok,middle_section,section2,medium,design_regular_road,0,none,True,,True,True,93124.0,train,train,test,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,1759079151.89,1759079717.325,1759079151.888,1759079717.328,1759079151.9020002,1759079717.328,True,True,True,True,False,True,True,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,158.49,1759079310.38,158.49,182.395,1759079310.38,1759079334.285,23.905,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,2,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00011;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00012,roll_rate;roll_rate,extreme;extreme,ok,,6.415099,0.394759,0.396939,3.38936,83.4676,2.33455,83.9,auto_accept_instability_high,100.0,hybrid_accept_high,2,2,strong_active,straight,secondary,0.075,ok,curve1,curve1,high,design_curve_context,0,none,True,,True,True,81389.0,train,train,test,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,1759079151.89,1759079717.325,1759079151.888,1759079717.328,1759079151.9020002,1759079717.328,True,True,True,True,False,True,True,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,187.815,1759079339.7050002,187.815,199.71,1759079339.7050002,1759079351.6000001,11.895,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,2,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00013;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00014,roll_rate;roll_rate,medium;extreme,ok,,4.18782,0.208582,0.150211,3.46166,112.325999,0.63914,60.71,auto_accept_instability_medium,89.48,hybrid_accept_high,2,2,strong_active,straight,secondary,0.115,ok,middle_section,section3,low,design_regular_road,0,none,True,,True,True,75524.0,train,train,test,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,1759079151.89,1759079717.325,1759079151.888,1759079717.328,1759079151.9020002,1759079717.328,True,True,True,True,False,True,True,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,219.32,1759079371.21,219.32,228.1,1759079371.21,1759079379.99,8.78,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,2,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00017;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00018,roll_rate;roll_rate,medium;extreme,ok,,8.03359,0.703788,0.520831,3.27656,124.504,1.702922,91.84,auto_accept_instability_high,100.0,hybrid_accept_high,3,3,extreme_active,straight,secondary,0.015,ok,middle_section,section3,low,design_regular_road,0,none,True,,True,True,69223.0,train,train,test,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,1759079151.89,1759079717.325,1759079151.888,1759079717.328,1759079151.9020002,1759079717.328,True,True,True,True,False,True,True,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,243.065,1759079394.9550002,243.065,246.25,1759079394.9550002,1759079398.14,3.185,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00020,roll_rate,strong,ok,,4.4116,0.245202,0.320094,1.127574,83.329301,1.824045,68.95,auto_accept_instability_medium,100.0,hybrid_accept_high,2,2,strong_active,straight,secondary,0.115,ok,fix_road,fix_road,low,design_special_event_segment,0,none,True,,True,True,64474.0,train,train,test,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,1759079151.89,1759079717.325,1759079151.888,1759079717.328,1759079151.9020002,1759079717.328,True,True,True,True,False,True,True,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,257.595,1759079409.4850001,257.595,270.23,1759079409.4850001,1759079422.1200001,12.635,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,3,2,3,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00021;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00022;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00023,ay;roll_rate;roll_rate,weak;extreme;medium,ok,,4.56984,0.264296,0.178149,2.95307,110.012,1.237788,65.86,auto_accept_instability_medium,100.0,hybrid_accept_high,2,2,strong_active,straight,secondary,0.27,ok,fix_road,fix_road,low,design_special_event_segment,0,none,True,,True,True,61568.0,test,train,test,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,1759079151.89,1759079717.325,1759079151.888,1759079717.328,1759079151.9020002,1759079717.328,True,True,True,True,False,True,True,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,299.3,1759079451.19,299.3,339.7,1759079451.19,1759079491.5900002,40.4,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,5,5,5,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00025;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00026;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00027;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00028;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00029,roll_rate;roll_rate;roll_rate;roll_rate;ay,extreme;medium;extreme;extreme;weak,ok,,11.823797,0.937568,0.453681,2.62716,115.157,0.668984,93.59,auto_accept_instability_high,100.0,hybrid_accept_high,3,3,extreme_active,curve,secondary,0.03,ok,middle_section,section4,low,design_regular_road,0,none,True,,True,True,53227.0,train,train,test,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,1759079151.89,1759079717.325,1759079151.888,1759079717.328,1759079151.9020002,1759079717.328,True,True,True,True,False,True,True,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,343.9,1759079495.7900002,343.9,345.535,1759079495.7900002,1759079497.4250002,1.635,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00030,roll_rate,weak,ok,,4.594909,0.755629,0.152704,2.372721,133.072,0.275762,76.49,auto_accept_instability_high,93.22,hybrid_accept_high,1,1,weak,straight,secondary,1.36,ok,curve2,curve2,very_low,design_curve_context,0,none,True,,True,True,44307.0,train,train,test,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,1759079151.89,1759079717.325,1759079151.888,1759079717.328,1759079151.9020002,1759079717.328,True,True,True,True,False,True,True,False
