event_uid,subject,session_stamp,anchor_source,phase_type,event_level,sample_row_count,random_event_split,session_level_split,subject_level_split,normalization_protocol
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,byx,2025_09_28_17_05_51,raw_road_curvature_onset,candidate,extreme,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,byx,2025_09_28_17_05_51,raw_road_curvature_onset,candidate,extreme,4,test,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,byx,2025_09_28_17_05_51,raw_road_curvature_onset,candidate,weak,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,byx,2025_09_28_17_05_51,raw_road_curvature_onset,candidate,extreme,4,val,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005,byx,2025_09_28_17_05_51,raw_road_curvature_onset,candidate,extreme,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00001,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,primary,weak,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00002,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,weak,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00003,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,primary,weak,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00004,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,primary,extreme_active,4,val,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00005,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,weak,4,test,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00006,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,strong_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00007,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,primary,extreme_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00008,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,strong_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00009,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,strong_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00010,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,primary,strong_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00011,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,extreme_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00012,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,primary,weak,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00013,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,primary,weak,4,test,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00014,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,strong_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00015,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,strong_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00016,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,medium_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00017,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,weak,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00018,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,strong_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00019,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,medium_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00020,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,primary,extreme_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00021,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,extreme_active,4,train,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00022,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,weak,4,val,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
old_v400_context__byx__2025_09_28_17_05_51__00023,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,secondary,weak,4,test,train,val,fit_scalers_and_feature_learning_on_train_only_for_each_split
