v1_8_decision,road_coord_is_curve_v1_9,v1_9_decision,count
train_noncurve_target_extreme,False,train_noncurve_target_extreme,557
discard_noncurve_prior_review,False,discard_noncurve_prior_review,555
train_noncurve_target_extreme,True,train_curve_coord_valid_normal_or_weak,76
discard_curve_height_or_z_abnormal,False,review_noncurve_recovered_from_height_rule_conflict,63
discard_curve_height_or_z_abnormal,True,discard_curve_coord_height_or_pose_abnormal,56
discard_curve_height_or_z_abnormal,True,train_curve_coord_valid_roll_candidate,50
train_curve_smooth_downhill_roll_candidate,True,train_curve_coord_valid_roll_candidate,48
discard_noncurve_prior_review,True,train_curve_coord_valid_normal_or_weak,46
train_curve_smooth_downhill_normal_or_weak,True,train_curve_coord_valid_roll_candidate,40
train_noncurve_target_extreme,True,review_road_coordinate_mapping_uncertain,32
train_curve_unclear_or_weak,True,train_curve_coord_valid_normal_or_weak,32
discard_curve_height_or_z_abnormal,True,train_curve_coord_valid_normal_or_weak,32
train_curve_unclear_or_weak,False,train_noncurve_recovered_from_false_curve_dynamic,31
train_curve_unclear_or_weak,False,review_noncurve_false_curve_weak,22
train_noncurve_target_extreme,True,train_curve_coord_valid_roll_candidate,16
defer_noncurve_prior_review,False,defer_noncurve_prior_review,15
train_curve_smooth_downhill_normal_or_weak,True,train_curve_coord_valid_normal_or_weak,14
discard_noncurve_prior_review,True,review_road_coordinate_mapping_uncertain,12
train_curve_unclear_or_weak,True,train_curve_coord_valid_roll_candidate,11
discard_curve_height_or_z_abnormal,True,review_road_coordinate_mapping_uncertain,11
discard_noncurve_prior_review,False,review_road_coordinate_mapping_uncertain,11
train_curve_unclear_profile_roll_candidate,True,train_curve_coord_valid_roll_candidate,11
train_curve_unclear_or_weak,True,review_road_coordinate_mapping_uncertain,7
discard_noncurve_prior_review,True,train_curve_coord_valid_roll_candidate,5
train_noncurve_target_extreme,False,review_road_coordinate_mapping_uncertain,4
discard_curve_height_or_z_abnormal,False,discard_noncurve_prior_review,2
defer_noncurve_prior_review,True,review_road_coordinate_mapping_uncertain,2
train_noncurve_target_extreme,True,discard_curve_coord_height_or_pose_abnormal,2
discard_noncurve_prior_review,True,discard_curve_coord_height_or_pose_abnormal,1
defer_noncurve_prior_review,True,train_curve_coord_valid_normal_or_weak,1
defer_noncurve_prior_review,True,train_curve_coord_valid_roll_candidate,1
