sample_id,split,gt_peak_abs,gt_peak_signed,gt_peak_time_s,gt_onset_time_s,gt_tail_signed,gt_tail_abs_ratio,direction_mode,amplitude_mode,peak_timing,tail_mode,reversal_count,zero_crossing,correction_mode,response_family,threshold_small_peak_train_p40,threshold_large_peak_train_p75,threshold_very_large_peak_train_p90,threshold_peak_time_train_median
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,train,1.944647192955017,1.944647192955017,1.190000057220459,0.07999999821186066,-0.19931477308273315,0.1024940533196983,positive,large,early_peak,return_near_zero,5,1,multi_segment,large|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,train,0.9477140307426453,-0.9477140307426453,2.0950000286102295,0.7649999856948853,0.0452042818069458,0.047698229994044654,negative,small,late_peak,return_near_zero,3,1,multi_segment,small|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,train,1.3292438983917236,-1.3292438983917236,2.5899999141693115,0.925000011920929,0.20961184799671173,0.15769254103804797,negative,medium,late_peak,return_near_zero,2,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,train,2.1975419521331787,-2.1975419521331787,1.5449999570846558,0.28999999165534973,0.03996798396110535,0.018187586326762942,negative,very_large,early_peak,return_near_zero,3,1,multi_segment,very_large|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,train,1.7027480602264404,-1.7027480602264404,2.0,0.22499999403953552,0.17680126428604126,0.10383289719474371,negative,large,late_peak,return_near_zero,4,1,multi_segment,large|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,train,0.9564404487609863,-0.9564404487609863,1.6699999570846558,0.9100000262260437,0.16702841222286224,0.17463545423997695,negative,small,late_peak,return_near_zero,2,1,multi_segment,small|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,train,0.10297000408172607,0.10297000408172607,0.6549999713897705,0.06499999761581421,0.0247800350189209,0.2406529478162716,positive,small,early_peak,return_near_zero,1,0,single_reversal,small|return_near_zero|single_reversal,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,train,1.3950433731079102,-1.3950433731079102,2.055000066757202,0.20999999344348907,-0.30944740772247314,0.2218192019600645,negative,medium,late_peak,return_near_zero,3,0,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,train,0.036299943923950195,-0.036299943923950195,2.615000009536743,2.5199999809265137,-0.030719995498657227,0.8462821750638739,negative,small,late_peak,same_side_tail,2,1,multi_segment,small|same_side_tail|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,train,1.3728759288787842,1.3728759288787842,1.065000057220459,0.25999999046325684,-0.21519902348518372,0.15675052563630779,positive,medium,early_peak,return_near_zero,3,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584
