annotation_id,subject,session_stamp,review_png,source_candidate_event_uid,candidate_anchor_source,candidate_anchor_time_rel_s,candidate_event_start_rel_s,candidate_event_end_rel_s,candidate_event_type,candidate_event_level,manual_include_for_dataset,manual_event_start_rel_s,manual_event_end_rel_s,manual_anchor_rel_s,manual_event_type,manual_direction,manual_confidence_1_5,manual_reason_or_notes
ann_rjy_2025_09_28_20_02_20_0001,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00001,raw_vehicle_dynamic_onset,34.27,34.27,35.730000000000004,ay,medium,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0002,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00001,old_v400_context_trigger_idx,34.755,33.555,36.555,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0003,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00002,old_v400_context_trigger_idx,38.94,38.21,40.56,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0004,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00002,raw_vehicle_dynamic_onset,39.065,39.065,39.345,steer_rate,medium,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0005,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00003,raw_vehicle_dynamic_onset,39.91,39.91,40.185,steer_rate,medium,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0006,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00003,old_v400_context_trigger_idx,59.61,58.41,61.41,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0007,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00004,raw_vehicle_dynamic_onset,59.725,59.725,61.965,ay,medium,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0008,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00004,old_v400_context_trigger_idx,63.03,62.295,64.83,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0009,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00005,raw_vehicle_dynamic_onset,63.16,63.16,67.69500000000001,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0010,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00005,old_v400_context_trigger_idx,65.41,64.21,67.21,context_residual,strong_active,,,,,,,,
