sample_id,event_uid,subject,session_stamp,anchor_time_rel_s,anchor_time_abs_s,window_config_id,input_start_rel_s,input_end_rel_s,label_start_rel_s,label_end_rel_s,anchor_source,causal_setting,event_type,event_level,road_type_anchor,is_curve,curvature_anchor,instability_review_score,road_guided_instability_score,codex_recommended_decision,road_guided_recommended_decision,vehicle_relative_path,vehicle_absolute_path,vehicle_sha256,anchor_idx_oldcode,event_start_rel_s,event_end_rel_s,event_duration_s,split,random_event_split,session_level_split,subject_level_split,array_row,vehicle_raw_relative_path,vehicle_raw_sha256,input_valid_ratio,label_valid_ratio,anchor_steer
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,60.84,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,extreme_active,straight,0,0.0,76.37,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,12168,60.84,67.06,6.22,train,train,train,test,0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,-0.5265672206878662
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,byx,2025_09_28_17_05_51,87.745,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,extreme_active,straight,0,-0.0,94.15,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,17549,87.745,94.47,6.725,train,test,train,test,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,0.19722138345241547
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815,byx,2025_09_28_17_05_51,99.815,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,instability_extreme,design_regular_road,0,-0.0,93.06,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,19963,99.815,115.085,15.27,train,train,train,test,2,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,-3.068459987640381
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490,byx,2025_09_28_17_05_51,158.49,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,strong_active,straight,1,-0.00729802,83.9,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,31698,158.49,182.395,23.905,train,train,train,test,3,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,-0.48520201444625854
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,187.815,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,strong_active,straight,0,0.0,60.71,89.48,auto_accept_instability_medium,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,37563,187.815,199.71,11.895,train,train,train,test,4,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,0.13561199605464935
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320,byx,2025_09_28_17_05_51,219.32,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,extreme_active,straight,0,-0.0,91.84,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,43864,219.32,228.1,8.78,train,train,train,test,5,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,-0.4722859859466553
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065,byx,2025_09_28_17_05_51,243.065,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,strong_active,straight,0,0.0,68.95,100.0,auto_accept_instability_medium,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,48613,243.065,246.25,3.185,train,train,train,test,6,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,0.04118980094790459
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595,byx,2025_09_28_17_05_51,257.595,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,strong_active,straight,0,-0.0,65.86,100.0,auto_accept_instability_medium,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,51519,257.595,270.23,12.635,train,test,train,test,7,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,-0.4106760025024414
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300,byx,2025_09_28_17_05_51,299.3,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,extreme_active,curve,0,-0.0,93.59,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,59860,299.3,339.7,40.4,train,train,train,test,8,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,0.12007803469896317
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900,byx,2025_09_28_17_05_51,343.9,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,weak,straight,1,-0.0,76.49,93.22,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,68780,343.9,345.535,1.635,train,train,train,test,9,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,0.1490509957075119
