protocol_version,sample_key,pool,subj,split,file,recording_id,vehicle_file,event_idx,episode_id,source_event_version,phase_type,event_level,trigger_type,event_type,road_type_anchor,is_curve,curvature_anchor,anchor_source,anchor_idx,anchor_s,history_len,future_len,valid_future_len,valid_future_s,full_future_2s,history_full_3s,time_left_after_anchor_s,keep_for_training,usable_sample,drop_reason,event_start_s,event_end_s,event_duration_s,start_idx,end_idx,trigger_score,primary_score,mechanism_tag,d3_included,instability_event_uid,leakage_note
instability_allraw_highconf_oldcode_v0_1,byx::2025_09_28_17_05_51::00001::instability_dynamic_onset,allraw_vehicle_instability_highconf,byx,test,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,1,1,allraw_instability_rescreen_v0_1,primary,extreme_active,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,straight,0,0.0,all_raw_nonsteering_dynamic_onset,12168,60.84,600,400,400,2.0,True,True,504.595,True,True,,60.84,67.06,6.22,12168,13412,100.0,76.37,instability_ay_roll,True,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.
instability_allraw_highconf_oldcode_v0_1,byx::2025_09_28_17_05_51::00002::instability_dynamic_onset,allraw_vehicle_instability_highconf,byx,test,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,2,2,allraw_instability_rescreen_v0_1,secondary,extreme_active,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,straight,0,-0.0,all_raw_nonsteering_dynamic_onset,17549,87.745,600,400,400,2.0,True,True,477.69,True,True,,87.745,94.47,6.725,17549,18894,100.0,94.15,instability_ay_roll,True,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.
instability_allraw_highconf_oldcode_v0_1,byx::2025_09_28_17_05_51::00003::instability_dynamic_onset,allraw_vehicle_instability_highconf,byx,test,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,3,3,allraw_instability_rescreen_v0_1,none,instability_extreme,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,design_regular_road,0,-0.0,all_raw_nonsteering_dynamic_onset,19963,99.815,600,400,400,2.0,True,True,465.62,True,True,,99.815,115.085,15.27,19963,23017,100.0,93.06,instability_ay_roll,True,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.
instability_allraw_highconf_oldcode_v0_1,byx::2025_09_28_17_05_51::00004::instability_dynamic_onset,allraw_vehicle_instability_highconf,byx,test,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,4,4,allraw_instability_rescreen_v0_1,secondary,strong_active,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,straight,1,-0.00729802,all_raw_nonsteering_dynamic_onset,31698,158.49,600,400,400,2.0,True,True,406.945,True,True,,158.49,182.395,23.905,31698,36479,100.0,83.9,instability_ay_roll,True,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.
instability_allraw_highconf_oldcode_v0_1,byx::2025_09_28_17_05_51::00005::instability_dynamic_onset,allraw_vehicle_instability_highconf,byx,test,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,5,5,allraw_instability_rescreen_v0_1,secondary,strong_active,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,straight,0,0.0,all_raw_nonsteering_dynamic_onset,37563,187.815,600,400,400,2.0,True,True,377.62,True,True,,187.815,199.71,11.895,37563,39942,89.48,60.71,instability_ay_roll,True,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.
instability_allraw_highconf_oldcode_v0_1,byx::2025_09_28_17_05_51::00006::instability_dynamic_onset,allraw_vehicle_instability_highconf,byx,test,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,6,6,allraw_instability_rescreen_v0_1,secondary,extreme_active,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,straight,0,-0.0,all_raw_nonsteering_dynamic_onset,43864,219.32,600,400,400,2.0,True,True,346.115,True,True,,219.32,228.1,8.78,43864,45620,100.0,91.84,instability_ay_roll,True,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.
instability_allraw_highconf_oldcode_v0_1,byx::2025_09_28_17_05_51::00007::instability_dynamic_onset,allraw_vehicle_instability_highconf,byx,test,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,7,7,allraw_instability_rescreen_v0_1,secondary,strong_active,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,straight,0,0.0,all_raw_nonsteering_dynamic_onset,48613,243.065,600,400,400,2.0,True,True,322.37,True,True,,243.065,246.25,3.185,48613,49250,100.0,68.95,instability_ay_roll,True,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.
instability_allraw_highconf_oldcode_v0_1,byx::2025_09_28_17_05_51::00008::instability_dynamic_onset,allraw_vehicle_instability_highconf,byx,test,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,8,8,allraw_instability_rescreen_v0_1,secondary,strong_active,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,straight,0,-0.0,all_raw_nonsteering_dynamic_onset,51519,257.595,600,400,400,2.0,True,True,307.84,True,True,,257.595,270.23,12.635,51519,54046,100.0,65.86,instability_ay_roll,True,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.
instability_allraw_highconf_oldcode_v0_1,byx::2025_09_28_17_05_51::00009::instability_dynamic_onset,allraw_vehicle_instability_highconf,byx,test,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,9,9,allraw_instability_rescreen_v0_1,secondary,extreme_active,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,curve,0,-0.0,all_raw_nonsteering_dynamic_onset,59860,299.3,600,400,400,2.0,True,True,266.135,True,True,,299.3,339.7,40.4,59860,67940,100.0,93.59,instability_ay_roll,True,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.
instability_allraw_highconf_oldcode_v0_1,byx::2025_09_28_17_05_51::00010::instability_dynamic_onset,allraw_vehicle_instability_highconf,byx,test,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,10,10,allraw_instability_rescreen_v0_1,secondary,weak,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,straight,1,-0.0,all_raw_nonsteering_dynamic_onset,68780,343.9,600,400,400,2.0,True,True,221.535,True,True,,343.9,345.535,1.635,68780,69107,93.22,76.49,instability_ay_roll,True,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.
