253C3YIS|0|storage:Li 等 - 2022 - Driver Distraction Detection Using Octave-Like Con.pdf|XANJWGSM
278PSKAA|0|storage:F37-Online driver distraction detection using long short-term memory.pdf|
27J3SIRA|0|storage:Balaji 等 - MetaReg Towards Domain Generalization using Meta-Regularization.pdf|EWZYQYQJ
2CCTATA8|0|storage:Zhao 等 - 2019 - A Multi-Branch 3D Convolutional Neural Network for EEG-Based Motor Imagery Classification.pdf|8LQNQKSM
2DUSCX48|0|storage:Sahayadhas 等 - 2015 - A physiological measures-based method for detecting inattention in drivers using machine learning ap.pdf|XFEEMJHG
2FXI3BHZ|0|storage:滚珠丝杠副设计制造可靠性关键技术研究_肖杨亮.pdf|RDTI5ECH
3GANPVD8|0|storage:Meteier 等 - 2021 - Classification of drivers' workload using physiological signals in conditional automation.pdf|J2N36K9Y
3HEFTPGQ|0|storage:Liang 等 - 2007 - Real-time detection of driver cognitive distraction using support vector machines.pdf|Z68X7FX7
3IQ2BRGQ|0|storage:Palmero 等 - 2018 - Recurrent CNN for 3D Gaze Estimation using Appearance and Shape Cues.pdf|ZQFFDYIE
3LCSZVRG|0|storage:Wang 等 - 2020 - A driver’s car-following behavior prediction model based on multi-sensors data.pdf|L45ESP46
4J9NSD7A|0|storage:精益生产在家具企业现场改善中的应用研究_张牡丹.pdf|RDTI5ECH
4YHTXWK6|0|storage:Kashevnik 等 - 2021 - Driver Distraction Detection Methods A Literature.pdf|XI7R83W3
542Q3TGI|0|storage:Zhang 等 - 2019 - A novel hybrid deep learning scheme for four-class motor imagery classification.pdf|XJ7CD8VY
5AEL7L9P|0|storage:Blanchard 等 - Generalizing from Several Related Classification Tasks to a New Unlabeled Sample.pdf|F6IU5EYC
5C35K9M3|0|storage:Sinha 等 - 2020 - Certifying some distributional robustness with principled adversarial training.pdf|DZ2FQJWI
5P43GHEA|0|storage:Atiquzzaman 等 - 2018 - Real-time detection of drivers’ texting and eating behavior based on vehicle dynamics.pdf|43L5SBSI
63UJRFZM|0|storage:Su 等 - 2024 - Deviation Sequence Neural Network Control for Path.pdf|9JG5SID5
68RQX33T|0|storage:极限工况下的车辆转向避撞风险指数_黄子文.pdf|
6AII5EEY|0|storage:数控机床关键部件制造过程质量与可靠性方法研究_徐大伟.pdf|RDTI5ECH
6GML2CIT|0|storage:Negash和Yang - 2023 - Driver Behavior Modeling Toward Autonomous Vehicles Comprehensive Review.pdf|VKR8H36N
6PL4QP55|0|storage:Mahajan 等 - Domain Generalization using Causal Matching.pdf|QJJ4UCMF
72YP474Y|0|storage:极限工况下人机共驾转向稳定性容错控制研究_吴佳辉 (1).pdf|
7352IWC4|0|storage:Li 等 - 2018 - Learning to Generalize Meta-Learning for Domain Generalization.pdf|ZN7Q8SP9
