window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,source_artifact,comparison_source,model_order,display_name,source_group,uses_subject_id,uses_physio,uses_eeg,uses_continuous_style,multi_segment_rate_abs_gap,delta_rmse_vs_rbf,rmse_pct_vs_rbf,decision_role,deployability,decision_reason_cn,gate_status,rank_rmse,rank_wrong_side,rank_large_recall
pre3_label3_response_coverage,session_level_split,test,topk_top1_rbf_fallback_logreg_no_subject,40,0.5420713665739044,0.775,0.225,0.75,0.4228115770965814,1.2736939393052176,0.125,0.426249997317791,0.2733749977778643,0.1876071452861651,0.075,0.1,0.025,0.95,0.95,0.6789069643375906,B_response3s_strict_core,topk_reliability_selector_v0_1,,,top1-RBF fallback,,,,,,,0.008404677134947414,1.5748925876904998,reliability_selector_no_go,deployable_vehicle_only,val 选择的回退策略 test 仍差于 RBF，且 39/40 回退到 RBF；不能升级。,no_go,7,14,7
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_branch0_no_subject,40,0.5550887276497372,0.95,0.05,0.75,0.5299312688410283,1.2530292066302025,0.225,0.3882499992847442,0.5598750002915039,0.2807117116870358,0.175,0.125,0.25,0.95,0.55,0.6981974834051585,B_response3s_strict_core,topk_reliability_selector_v0_1,,,top-K branch0,,,,,,,0.021422038210780148,4.014123166147226,topk_candidate_no_go,deployable_vehicle_only,top-K 候选覆盖有潜力，但当前选择头/分支选择未超过 RBF。,no_go,9,2,7
pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,40,0.566011200471459,0.775,0.225,0.625,0.5508254997432231,0.9638105479674371,0.3,0.5376249924302101,0.8521249985322357,0.2988018655683845,0.175,0.275,0.05,0.95,0.0,0.7705063470520028,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,direct Transformer,,,,,,,0.03234451103250202,6.060807555087569,deep_vehicle_candidate_no_go,deployable_vehicle_only,真实 Transformer 已补跑，但 test RMSE 或关键物理指标不如 RBF。,no_go,10,14,12
pre3_label3_response_coverage,session_level_split,test,topk_rbf_branch_logreg_selector_no_subject,40,0.5766300583645526,0.85,0.15,0.625,0.465643472597003,1.341517697834452,0.175,0.4279999971389771,0.4057500021765008,0.3128196425619535,0.175,0.1,0.15,0.95,0.75,0.6405334347863101,B_response3s_strict_core,topk_reliability_selector_v0_1,,,RBF/topK branch selector,,,,,,,0.0429633689255956,8.050599704988695,topk_candidate_no_go,deployable_vehicle_only,top-K 候选覆盖有潜力，但当前选择头/分支选择未超过 RBF。,no_go,11,7,12
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_top1_no_subject,40,0.5878650121120256,0.9,0.1,0.75,0.5538428496569395,1.2661693704993169,0.25,0.4583749994635582,0.5153750029858202,0.3247141929576173,0.2,0.15,0.275,0.95,0.6,0.71709414927741,B_response3s_strict_core,topk_reliability_selector_v0_1,,,top-K top1,,,,,,,0.054198322673068566,10.15583766902281,topk_candidate_no_go,deployable_vehicle_only,top-K 候选覆盖有潜力，但当前选择头/分支选择未超过 RBF。,no_go,12,4,7
pre3_label3_response_coverage,session_level_split,test,structured_vehicle_transformer_aux_no_subject,40,0.6021735065212176,0.775,0.225,0.5,0.5536954589188099,0.846596346209688,0.35,0.5322499990463256,0.6436250008642673,0.3307274302933365,0.25,0.55,0.075,0.95,0.05,0.8022889841027043,B_response3s_strict_core,structured_vehicle_transformer_v0_1,current_structured_vehicle_transformer_run,,structured Transformer,,,,,,,0.06850681708226058,12.83700452697951,deep_vehicle_candidate_no_go,deployable_vehicle_only,真实 Transformer 已补跑，但 test RMSE 或关键物理指标不如 RBF。,no_go,13,14,15
pre3_label3_response_coverage,session_level_split,test,topk_branch_logreg_selector_no_subject,40,0.6107348611897032,0.875,0.125,0.625,0.5767982255667448,1.310308797481806,0.275,0.5019999995827675,0.4153749994467944,0.3549744148505852,0.25,0.15,0.25,0.95,0.5,0.7693739788905152,B_response3s_strict_core,topk_reliability_selector_v0_1,,,topK branch selector,,,,,,,0.0770681717507462,14.441255801775423,topk_candidate_no_go,deployable_vehicle_only,top-K 候选覆盖有潜力，但当前选择头/分支选择未超过 RBF。,no_go,14,5,12
pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.2576249981299042,0.1817509417654946,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,topk_reliability_selector_v0_1,,,RBF KRR context,,,,,,,0.0,0.0,current_main_reference,deployable_vehicle_only,暂定车辆-only 主参照；按 val/test 规则可部署，但仍存在错侧、反向修正和多段修正问题。,not_fully_frozen,4,14,7
pre3_label3_response_coverage,session_level_split,test,ridge_rich_context_no_subject,40,0.536450450516907,0.825,0.175,0.5,0.5529706440865993,1.1007266648812437,0.35,0.4195000097155571,0.3861249987967312,0.1883128815432428,0.075,0.025,0.025,0.95,1.0,0.7571023760780592,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,rich ridge context,,,,,,,0.0027837610779499755,0.5216291616170646,strong_linear_baseline,deployable_vehicle_only,RMSE 接近 RBF 但大幅召回较差，保留为强线性参照，不替代 RBF。,supporting,6,9,15
pre3_label3_response_coverage,session_level_split,test,formal_ridge_vehicle_context_no_subject,40,0.6523924662460296,0.85,0.15,0.125,0.8260058525949716,0.6863516198221022,0.75,0.426500004529953,1.327124995039776,0.183897180238273,0.05,0.1,0.05,0.95,1.0,0.9757145615664984,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,formal ridge,,,,,,,0.11872577680707264,22.247177715343046,formal_baseline,deployable_vehicle_only,线性公平参照；性能低于 RBF，只用于最低可解释基线。,supporting,16,7,17
