exp_id,label_cn,group_cn,purpose_cn,style,teacher_state_mode,teacher_state_dim,response_aux,distill_from,student_teacher_state_mode,mechanism_hint_cn
B0,车辆-only 粗细双头,基准,已完成的主基准，不重复训练。,False,,0,False,,,车辆历史和道路/事件上下文基准
B1,车辆 + 连续风格,基准,验证连续驾驶风格在 v0.5 新样本上是否仍有增量。,True,,0,False,,,个体长期驾驶差异
S1,车辆 + 心率,单信号,看心率是否单独提供增量。,False,raw_hr_only,1,False,,,压力、唤醒、负荷的慢变化线索
S2,车辆 + 皮电,单信号,看皮电是否单独提供增量。,False,raw_eda_only,2,False,,,紧张、唤醒、认知负荷的慢变化线索
S3,车辆 + 肌电,单信号,看肌电是否单独提供增量。,False,raw_emg_only,1,False,,,动作准备、操纵意图、方向盘操作相关线索
S4,车辆 + 脑电,单信号,看脑电直接输入是否单独有效。,False,raw_eeg_only,8,False,,,训练或推理中的神经状态线索
SF1,车辆 + 连续风格 + 心率,单信号+风格,看心率是否有连续风格之外的增量。,True,raw_hr_only,1,False,,,风格之外的唤醒/压力线索
SF2,车辆 + 连续风格 + 皮电,单信号+风格,看皮电是否有连续风格之外的增量。,True,raw_eda_only,2,False,,,风格之外的慢变化紧张线索
SF3,车辆 + 连续风格 + 肌电,单信号+风格,看肌电是否有连续风格之外的增量。,True,raw_emg_only,1,False,,,风格之外的动作准备或操纵意图
SF4,车辆 + 连续风格 + 脑电,单信号+风格,看脑电直接输入是否有连续风格之外的增量，并作为 T1 教师。,True,raw_eeg_only,8,False,,,脑电直接输入及 EEG 教师候选
C1,车辆 + 心率 + 皮电 + 肌电,组合,验证非脑电生理组合是否有效。,False,raw_physio_no_eeg,4,False,,,非脑电生理整体状态
C2,车辆 + 连续风格 + 心率 + 皮电 + 肌电,组合,验证非脑电生理是否有连续风格之外的增量，并作为 T2 教师。,True,raw_physio_no_eeg,4,False,,,风格之外的非脑电状态监督
C3,车辆 + 心率 + 皮电 + 肌电 + 脑电,组合,验证全生理直接输入是否有效。,False,raw_physio,12,False,,,全生理直接融合
C4,车辆 + 连续风格 + 全生理,组合,验证连续风格 + 全生理直接输入是否最强，并作为 T3/T4 教师。,True,raw_physio,12,False,,,全生理直接融合和教师候选
A1,车辆 + 连续风格 + 肌电 + 响应类型辅助,响应类型辅助,看肌电是否更适合帮助判断响应强弱、方向和形态。,True,raw_emg_only,1,True,,,肌电帮助响应类型判断
A2,车辆 + 连续风格 + 非脑电生理 + 响应类型辅助,响应类型辅助,看非脑电生理是否更适合作为状态判断而非简单回归拼接。,True,raw_physio_no_eeg,4,True,,,非脑电生理帮助状态/困难样本判断
A3,车辆 + 连续风格 + 全生理 + 响应类型辅助,响应类型辅助,看全生理是否改善响应类型和困难样本。,True,raw_physio,12,True,,,全生理帮助响应类型判断
T1,脑电教师 -> 车辆 + 连续风格学生,多教师蒸馏,训练时用 SF4 作为脑电教师，推理时不用脑电。,True,,0,False,SF4,,脑电是否更适合训练期教师
T2,非脑电生理教师 -> 车辆 + 连续风格学生,多教师蒸馏,训练时用 C2 作为非脑电生理教师，推理时不用生理。,True,,0,False,C2,,非脑电生理是否更适合作为状态教师
T3,全生理教师 -> 车辆 + 连续风格学生,多教师蒸馏,训练时用 C4 作为全生理教师，推理时不用生理。,True,,0,False,C4,,全生理是否提供更强训练期软监督
T4,全生理教师 -> 车辆 + 连续风格 + 肌电学生,多教师蒸馏,训练时用 C4 作为全生理教师，推理时保留肌电。,True,,0,False,C4,raw_emg_only,全生理教师和肌电推理输入是否互补
