sample_id,split,candidate_name,prototype_rule,prototype_train_n
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,5
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=very_large,12
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak,30
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak,21
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,15
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,16
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak,21
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak&tail_mode=same_side_tail&correction_mode=multi_segment,5
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,16
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=large,16
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,15
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak,30
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak,21
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,15
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,15
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,14
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000205130__pre3_label3_response_coverage,val,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000309365__pre3_label3_response_coverage,val,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,16
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000329785__pre3_label3_response_coverage,val,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,14
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000388180__pre3_label3_response_coverage,val,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,16
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,11
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,14
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak,21
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,5
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=same_side_tail&correction_mode=multi_segment,5
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,5
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,16
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=very_large,12
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=very_large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,7
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,16
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,10
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=very_large&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,8
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak,30
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=same_side_tail&correction_mode=multi_segment,5
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak&tail_mode=same_side_tail&correction_mode=multi_segment,5
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=very_large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,7
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,15
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,10
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=same_side_tail&correction_mode=multi_segment,5
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=very_large,12
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,11
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak,30
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,16
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=large&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,6
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,10
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,16
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak,30
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak,30
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,5
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,16
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,15
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=very_large,12
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,5
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,15
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,11
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000176245__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=positive&amplitude_mode=very_large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,7
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860__pre3_label3_response_coverage,test,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000240445__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=very_large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,7
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak,30
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=very_large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,7
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=large&peak_timing=late_peak,6
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak,30
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000540950__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak,30
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000069905__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,14
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000228515__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=very_large,12
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000445490__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak,21
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000526105__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,11
vehicle_instability_allraw__jy__2025_09_26_17_51_46__000542335__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak,21
vehicle_instability_allraw__jy__2025_09_26_18_01_40__000064705__pre3_label3_response_coverage,val,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,14
