feature,input_status,reason,fold_id
sample_id,excluded,identifier_or_split,0
event_uid,excluded,identifier_or_split,0
subject,excluded,identifier_or_split,0
session_stamp,excluded,identifier_or_split,0
anchor_time_rel_s,allowed,pre_event_context_or_fold_retrained_rbf_shape,0
curvature_anchor,allowed,pre_event_context_or_fold_retrained_rbf_shape,0
event_type,allowed,pre_event_context_or_fold_retrained_rbf_shape,0
event_level,allowed,pre_event_context_or_fold_retrained_rbf_shape,0
road_type_anchor,allowed,pre_event_context_or_fold_retrained_rbf_shape,0
road_design_module_name,allowed,pre_event_context_or_fold_retrained_rbf_shape,0
road_design_instance_name,allowed,pre_event_context_or_fold_retrained_rbf_shape,0
road_design_risk_class,allowed,pre_event_context_or_fold_retrained_rbf_shape,0
road_design_mapping_reliability,allowed,pre_event_context_or_fold_retrained_rbf_shape,0
split,excluded,identifier_or_split,0
top1_branch,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
top1_prob,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
prob_margin,excluded,not_used_in_strict_cv_variant,0
prob_entropy,excluded,not_used_in_strict_cv_variant,0
topk_branch_spread_mean,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_branch_spread_peak,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
branch_peak_abs_spread,excluded,not_used_in_strict_cv_variant,0
rbf_kernel_ridge_context_no_subject__pred_peak_abs,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
rbf_kernel_ridge_context_no_subject__pred_peak_sign,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
rbf_kernel_ridge_context_no_subject__pred_reversal_count,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
keypoint_residual_vehicle_transformer_no_subject__pred_peak_abs,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
keypoint_residual_vehicle_transformer_no_subject__pred_peak_sign,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
keypoint_residual_vehicle_transformer_no_subject__pred_reversal_count,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_vehicle_transformer_top1_no_subject__pred_peak_abs,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_vehicle_transformer_top1_no_subject__pred_peak_sign,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_vehicle_transformer_top1_no_subject__pred_reversal_count,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_vehicle_transformer_branch0_no_subject__pred_peak_abs,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_vehicle_transformer_branch0_no_subject__pred_peak_sign,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_vehicle_transformer_branch0_no_subject__pred_reversal_count,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_vehicle_transformer_branch1_no_subject__pred_peak_abs,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_vehicle_transformer_branch1_no_subject__pred_peak_sign,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_vehicle_transformer_branch1_no_subject__pred_reversal_count,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_vehicle_transformer_branch2_no_subject__pred_peak_abs,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_vehicle_transformer_branch2_no_subject__pred_peak_sign,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
topk_vehicle_transformer_branch2_no_subject__pred_reversal_count,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
label_diag__rbf_sample_rmse,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
label_diag__rbf_topk_oracle_model,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
label_diag__rbf_topk_oracle_rmse,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
label_diag__rbf_topk_oracle_gain_over_rbf,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
label_diag__rbf_topk_oracle_uses_non_rbf,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
label_diag__broad_oracle_model,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
label_diag__broad_oracle_rmse,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
label_diag__broad_oracle_gain_over_rbf,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
label_diag__broad_oracle_uses_non_rbf,excluded,fixed_split_candidate_prediction_or_label_diagnostic_leakage_risk,0
fold_rbf_peak_signed,allowed,fold_retrained_rbf_prediction_shape,0
fold_rbf_peak_abs,allowed,fold_retrained_rbf_prediction_shape,0
fold_rbf_peak_time_s,allowed,fold_retrained_rbf_prediction_shape,0
fold_rbf_onset_time_s,allowed,fold_retrained_rbf_prediction_shape,0
fold_rbf_tail_signed,allowed,fold_retrained_rbf_prediction_shape,0
fold_rbf_reversal_count,allowed,fold_retrained_rbf_prediction_shape,0
